gvkey,conm,cik,tic,datadate,fyear,rcp,at,lag1_at,big1_rstr,big05_rstr
023799,APHTON CORP,0000840319,APHTQ,12/31/2005,2005,-0.979,6.776,52.635,TRUE,TRUE
023804,INNOVA GAMING GROUP INC,0001642048,IVGMF,12/31/2014,2014,-0.138,22.939,10.744,TRUE,TRUE
023809,AUTOZONE INC,0000866787,AZO,8/31/2001,2001,-156.822,3432.512,3333.218,TRUE,TRUE
023810,ION GEOPHYSICAL CORP,0000866609,IOGPQ,12/31/2003,2003,-1.3,248.055,248.445,FALSE,TRUE
023810,ION GEOPHYSICAL CORP,0000866609,IOGPQ,12/31/2008,2008,-2,861.431,709.149,FALSE,FALSE
023810,ION GEOPHYSICAL CORP,0000866609,IOGPQ,12/31/2009,2009,-3.075,748.186,861.431,FALSE,FALSE
023810,ION GEOPHYSICAL CORP,0000866609,IOGPQ,12/31/2011,2011,-2.928,674.058,624.442,FALSE,FALSE
023810,ION GEOPHYSICAL CORP,0000866609,IOGPQ,12/31/2012,2012,-0.4,820.583,674.058,FALSE,FALSE
023810,ION GEOPHYSICAL CORP,0000866609,IOGPQ,12/31/2013,2013,-25.653,864.671,820.583,TRUE,TRUE
023810,ION GEOPHYSICAL CORP,0000866609,IOGPQ,12/31/2015,2015,-9.127,438.416,617.257,TRUE,TRUE
023810,ION GEOPHYSICAL CORP,0000866609,IOGPQ,12/31/2016,2016,-2.009,313.216,438.416,FALSE,FALSE
023810,ION GEOPHYSICAL CORP,0000866609,IOGPQ,12/31/2019,2019,-2.81,233.194,244.749,TRUE,TRUE
023810,ION GEOPHYSICAL CORP,0000866609,IOGPQ,12/31/2020,2020,-3.102,193.593,233.194,TRUE,TRUE
023812,REGENERON PHARMACEUTICALS,0000872589,REGN,12/31/2005,2005,-2.213,423.501,473.108,FALSE,FALSE
023812,REGENERON PHARMACEUTICALS,0000872589,REGN,12/31/2006,2006,-0.348,585.09,423.501,FALSE,FALSE
023812,REGENERON PHARMACEUTICALS,0000872589,REGN,12/31/2019,2019,-35.2,14805.2,11734.5,FALSE,FALSE
023812,REGENERON PHARMACEUTICALS,0000872589,REGN,12/31/2020,2020,-8.1,17163.3,14805.2,FALSE,FALSE
023813,VIRACTA THERAPEUTICS INC,0001061027,VIRX,12/31/2022,2022,-6.4,95.991,108.552,TRUE,TRUE
023818,EVOLENT HEALTH INC,0001628908,EVH,12/31/2018,2018,-2.205,1722.281,1312.697,FALSE,FALSE
023818,EVOLENT HEALTH INC,0001628908,EVH,12/31/2019,2019,-17.35,1498.015,1722.281,TRUE,TRUE
023818,EVOLENT HEALTH INC,0001628908,EVH,12/31/2020,2020,-10.261,1370.185,1498.015,FALSE,TRUE
023818,EVOLENT HEALTH INC,0001628908,EVH,12/31/2021,2021,-7.318,1419.458,1370.185,FALSE,TRUE
023818,EVOLENT HEALTH INC,0001628908,EVH,12/31/2023,2023,-35.236,2680.308,1817.293,TRUE,TRUE
023821,GANNETT CO INC -OLD,0001635718,GCI.1,12/31/2014,2014,-94.515,2384.46,2494.736,TRUE,TRUE
023821,GANNETT CO INC -OLD,0001635718,GCI.1,12/31/2015,2015,-106.544,2427.799,2384.46,TRUE,TRUE
023821,GANNETT CO INC -OLD,0001635718,GCI.1,12/31/2016,2016,-100.86,2844.681,2427.799,TRUE,TRUE
023821,GANNETT CO INC -OLD,0001635718,GCI.1,12/31/2017,2017,-135.08,2569.977,2844.681,TRUE,TRUE
023821,GANNETT CO INC -OLD,0001635718,GCI.1,12/31/2018,2018,-109.974,2478.411,2569.977,TRUE,TRUE
023856,FITBIT INC,0001447599,FIT,12/31/2017,2017,-6.375,1582.075,1820.226,FALSE,FALSE
023856,FITBIT INC,0001447599,FIT,12/31/2019,2019,-2.458,1368.086,1515.547,FALSE,FALSE
023864,EXTERRAN CORP,0001635881,EXTN,12/31/2015,2015,-32.1,1788.396,2032.823,TRUE,TRUE
023864,EXTERRAN CORP,0001635881,EXTN,12/31/2016,2016,-27.457,1374.778,1788.396,TRUE,TRUE
023864,EXTERRAN CORP,0001635881,EXTN,12/31/2017,2017,-3.189,1460.807,1374.778,FALSE,FALSE
023864,EXTERRAN CORP,0001635881,EXTN,12/31/2018,2018,-1.997,1567.054,1460.807,FALSE,FALSE
023864,EXTERRAN CORP,0001635881,EXTN,12/31/2019,2019,-8.712,1418.004,1567.054,FALSE,TRUE
023864,EXTERRAN CORP,0001635881,EXTN,12/31/2020,2020,-3.55,1303.491,1418.004,FALSE,FALSE
023864,EXTERRAN CORP,0001635881,EXTN,12/31/2021,2021,-1.338,1179.197,1303.491,FALSE,FALSE
023865,BABCOCK & WILCOX ENTERPRISES,0001630805,BW,12/31/2014,2014,-30.025,1522.806,1296.469,TRUE,TRUE
023865,BABCOCK & WILCOX ENTERPRISES,0001630805,BW,12/31/2015,2015,-11.646,1663.045,1522.806,FALSE,TRUE
023865,BABCOCK & WILCOX ENTERPRISES,0001630805,BW,12/31/2016,2016,-37.007,1529.143,1663.045,TRUE,TRUE
023865,BABCOCK & WILCOX ENTERPRISES,0001630805,BW,12/31/2017,2017,-14.222,1322.229,1529.143,FALSE,TRUE
023865,BABCOCK & WILCOX ENTERPRISES,0001630805,BW,12/31/2018,2018,-16.428,745.497,1322.229,TRUE,TRUE
023865,BABCOCK & WILCOX ENTERPRISES,0001630805,BW,12/31/2019,2019,-11.707,626.519,745.497,TRUE,TRUE
023865,BABCOCK & WILCOX ENTERPRISES,0001630805,BW,12/31/2020,2020,-11.849,591.792,626.519,TRUE,TRUE
023865,BABCOCK & WILCOX ENTERPRISES,0001630805,BW,12/31/2021,2021,-4.869,913.265,591.792,FALSE,TRUE
023865,BABCOCK & WILCOX ENTERPRISES,0001630805,BW,12/31/2022,2022,-8.474,942.655,913.265,FALSE,TRUE
023865,BABCOCK & WILCOX ENTERPRISES,0001630805,BW,12/31/2023,2023,-5.663,775.698,942.655,FALSE,TRUE
023872,SPORT SUPPLY GROUP INC-OLD,0000872855,SSPY.1,3/31/2002,2001,-0.51,67.307,73.687,FALSE,TRUE
023929,LESLIES POOLMART,0000866048,0147A,9/30/2001,2001,-1.466,132.31,132.312,TRUE,TRUE
023933,SIO GENE THERAPIES INC,0001636050,SIOX,3/31/2018,2017,-6.035,160.786,222.539,TRUE,TRUE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2001,2001,-195.186,855.341,1126.09,TRUE,TRUE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2003,2003,-15.314,552.956,728.716,TRUE,TRUE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2004,2004,-3.52,507.024,552.956,FALSE,TRUE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2005,2005,-13.833,732.949,507.024,TRUE,TRUE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2006,2006,-6.119,1006.557,732.949,FALSE,TRUE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2007,2007,-14.837,1131.998,1006.557,TRUE,TRUE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2008,2008,-0.824,970.318,1131.998,FALSE,FALSE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2009,2009,-2.551,1115.477,970.318,FALSE,FALSE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2010,2010,-0.403,1526.546,1115.477,FALSE,FALSE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2011,2011,-2.766,1399.439,1526.546,FALSE,FALSE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2012,2012,-6.361,894.773,1399.439,FALSE,FALSE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2013,2013,-6.093,849.951,894.773,FALSE,TRUE
023943,PMC-SIERRA INC,0000767920,PMCS,12/31/2014,2014,-2.081,869.085,849.951,FALSE,FALSE
023945,CEPHALON INC,0000873364,CEPH,12/31/2005,2005,-2.9,2819.206,2440.176,FALSE,FALSE
023945,CEPHALON INC,0000873364,CEPH,12/31/2006,2006,-4,3045.497,2819.206,FALSE,FALSE
023945,CEPHALON INC,0000873364,CEPH,12/31/2008,2008,-15.415,3169.188,3506.269,FALSE,FALSE
023945,CEPHALON INC,0000873364,CEPH,12/31/2009,2009,-34.125,4658.095,3169.188,TRUE,TRUE
023945,CEPHALON INC,0000873364,CEPH,12/31/2010,2010,-26.519,4891.833,4658.095,FALSE,TRUE
023949,GDI INTEGRATED FACILITY SVCS,,GDIFF,12/31/2016,2016,-2.391,494.753,464.848,FALSE,TRUE
023955,ROSS SYSTEMS INC,0000873594,ROSS.1,6/30/2001,2001,-0.79,50.462,64.295,TRUE,TRUE
023955,ROSS SYSTEMS INC,0000873594,ROSS.1,6/30/2002,2002,0.65,37.618,50.462,TRUE,TRUE
023977,APPLE HOSPITALITY REIT INC,0001418121,APLE,12/31/2019,2019,-0.5,4942.411,4928.672,FALSE,FALSE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2001,2001,-38,8337,8711,FALSE,FALSE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2002,2002,-1,7977,8337,FALSE,FALSE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2003,2003,-623,7838,7977,TRUE,TRUE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2007,2007,-57,15632,10586,FALSE,TRUE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2013,2013,-248,13143,15217,TRUE,TRUE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2014,2014,-250,12314,13143,TRUE,TRUE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2015,2015,-322,9190,12314,TRUE,TRUE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2016,2016,-120,9160,9190,TRUE,TRUE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2017,2017,-31,9862,9160,FALSE,FALSE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2019,2019,-275,11608,10982,TRUE,TRUE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2020,2020,-138,12059,11608,TRUE,TRUE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2021,2021,-128,17816,12059,TRUE,TRUE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2022,2022,-48,19458,17816,FALSE,FALSE
023978,UNITED STATES STEEL CORP,0001163302,X,12/31/2023,2023,-36,20451,19458,FALSE,FALSE
023980,ASTRIA THERAPEUTICS INC,0001454789,ATXS,12/31/2018,2018,-0.6,39.169,17.897,TRUE,TRUE
023980,ASTRIA THERAPEUTICS INC,0001454789,ATXS,12/31/2020,2020,-0.4,47.456,41.78,FALSE,TRUE
023980,ASTRIA THERAPEUTICS INC,0001454789,ATXS,12/31/2021,2021,-0.2,127.514,47.456,FALSE,FALSE
023983,GOLDMONEY INC,0001630301,XAUMF,3/31/2022,2021,-2.4,176.963,190.218,TRUE,TRUE
023990,GLAUKOS CORP,0001192448,GKOS,12/31/2019,2019,-4.1,818.4,206.97,TRUE,TRUE
023990,GLAUKOS CORP,0001192448,GKOS,12/31/2020,2020,-1,1005.502,818.4,FALSE,FALSE
023993,LANDMARK APRTMT TR INC -REDH,0001347523,LAT,12/31/2014,2014,-3.396,1820.349,1526.69,FALSE,FALSE
